country,name,Year,Beer,Wine,Spirits,Other
asafg,Afghanistan,2010,0,0,0,0
eualb,Albania,2010,31.8,19.8,48.4,0
afdza,Algeria,2010,62.6,35.5,0,2
euand,Andorra,2010,34.6,45.3,20.1,0
afago,Angola,2010,64.3,13.7,17.4,4.7
naatg,Antigua and Barbuda,2010,36.4,16.4,47,0.3
saarg,Argentina,2010,40.7,48,5.5,5.8
asarm,Armenia,2010,9.7,5.3,84.9,0
ocaus,Australia,2010,44,36.7,12.5,6.8
euaut,Austria,2010,50.4,35.5,14,0
asaze,Azerbaijan,2010,28.7,7.6,63.3,0
nabhs,Bahamas,2010,34,14.6,50.4,1
asbhr,Bahrain,2010,36.6,6.3,57,0.1
asbgd,Bangladesh,2010,0,0,0,0
nabrb,Barbados,2010,39.7,10.2,49.3,0.8
eublr,Belarus,2010,17.3,5.2,46.6,30.9
eubel,Belgium,2010,49.2,36.3,14.4,0.1
nablz,Belize,2010,67.6,2,30.3,0.1
afben,Benin,2010,54.6,21.7,7.2,16.5
asbtn,Bhutan,2010,100,0,0,0
sabol,Bolivia,2010,76.8,3.8,19.3,0.1
eubih,Bosnia and Herzegovina,2010,29.1,3.2,67.7,0
afbwa,Botswana,2010,56,11.8,11.5,20.7
sabra,Brazil,2010,59.6,4,36.3,0.1
asbrn,Brunei,2010,89.8,2.3,7.2,0.7
eubgr,Bulgaria,2010,39.3,16.5,44.1,0.1
afbfa,Burkina Faso,2010,10,3,3.1,83.8
afbdi,Burundi,2010,24.5,0,0.1,75.4
afciv,C_te d'Ivoire,2010,16.1,3,0.4,80.5
afcpv,Cape Verde,2010,63,7.3,25.4,4.3
askhm,Cambodia,2010,45.7,0.8,53.5,0
afcmr,Cameroon,2010,44.4,1.2,0.2,54.2
nacan,Canada,2010,51.2,22,26.8,0
afcaf,Central African Republic,2010,16.2,0.6,2.1,81.1
aftcd,Chad,2010,66.3,3.4,3.8,26.5
sachl,Chile,2010,29.9,40.7,29.4,0
aschn,China,2010,27.8,3,69.2,0
sacol,Colombia,2010,66.1,1.1,32.5,0.3
afcom,Comoros,2010,23.3,22.2,54.6,0
