country,name,Year,Beer,Wine,Spirits,Other,Beer_Rank,Wine_Rank,Spirits_Rank,Other_Rank
asyem,Yemen,2010,100,0,0,0,1,174,176,110
asbtn,Bhutan,2010,100,0,0,0,2,189,188,156
asvnm,Vietnam,2010,97.3,0.6,2.1,0,3,158,162,114
afnam,Namibia,2010,96.7,0.3,0.9,2.1,4,164,166,48
asbrn,Brunei,2010,89.8,2.3,7.2,0.7,5,125,150,66
ocnru,Nauru,2010,85.4,14.6,0,0,6,65,181,176
asidn,Indonesia,2010,84.5,0.1,15.3,0,7,170,126,136
asmmr,Myanmar,2010,82.6,5.7,11.8,0,8,98,140,177
ocslb,Solomon Islands,2010,81.1,2.1,16.7,0,9,129,121,117
afgin,Guinea,2010,78.9,16.3,3.7,1.1,10,61,155,60
afcog,Congo,2010,78.4,9.8,10.9,0.8,11,80,144,63
ocplw,Palau,2010,77.7,5.9,16.4,0,12,97,123,168
sabol,Bolivia,2010,76.8,3.8,19.3,0.1,13,111,112,100
asmys,Malaysia,2010,76.2,2,21.8,0.1,14,132,103,93
asirq,Iraq,2010,76.1,1,22.9,0,15,148,100,162
namex,Mexico,2010,75.7,1.5,22.2,0.5,16,140,102,70
saven,Venezuela,2010,75.6,0.8,23.4,0.2,17,155,98,88
ocwsm,Samoa,2010,70.9,16.6,12.5,0,18,58,139,107
assgp,Singapore,2010,70.1,13.5,14.7,1.7,19,69,130,53
napan,Panama,2010,69.2,4.6,26,0.2,20,106,92,89
aftun,Tunisia,2010,68.6,27.7,3.7,0,21,37,154,121
afgab,Gabon,2010,68.3,11.9,19.8,0.1,22,73,111,92
ocfji,Fiji,2010,67.7,0.9,31.1,0.2,23,152,82,85
nablz,Belize,2010,67.6,2,30.3,0.1,24,131,84,95
saecu,Ecuador,2010,67.3,1.2,31.5,0,25,142,81,144
afsyc,Seychelles,2010,67,22.2,10.8,0,26,46,145,131
aftcd,Chad,2010,66.3,3.4,3.8,26.5,27,112,153,25
afmus,Mauritius,2010,66.2,12.3,21.3,0.2,28,72,106,86
sacol,Colombia,2010,66.1,1.1,32.5,0.3,29,145,80,82
afago,Angola,2010,64.3,13.7,17.4,4.7,30,68,118,42
astur,Turkey,2010,63.6,8.6,27.9,0,31,85,88,122
aferi,Eritrea,2010,63.6,0,0.1,36.3,32,187,175,22
afmoz,Mozambique,2010,63,7.3,25.4,4.3,33,90,93,43
afcpv,Cape Verde,2010,63,7.3,25.4,4.3,34,91,94,44
afdza,Algeria,2010,62.6,35.5,0,2,35,27,190,49
euisl,Iceland,2010,61.8,21.2,16.5,0.5,36,49,122,69
sabra,Brazil,2010,59.6,4,36.3,0.1,37,110,70,102
nacri,Costa Rica,2010,59.3,4.7,35.5,0.5,38,105,71,68
askwt,Kuwait,2010,58.1,10.8,30.7,0.4,39,77,83,75
octon,Tonga,2010,57.9,7.6,34.3,0.1,40,87,74,96
afken,Kenya,2010,56.1,1.8,21.6,20.4,41,134,105,29
afmdg,Madagascar,2010,56,9.5,34.5,0,42,82,73,185
afbwa,Botswana,2010,56,11.8,11.5,20.7,43,74,142,28
eupol,Poland,2010,55.1,9.3,35.5,0,44,83,72,134
afsen,Senegal,2010,55.1,41.3,3.6,0,45,19,156,116
asomn,Oman,2010,54.6,3.3,42.2,0,46,113,62,170
afben,Benin,2010,54.6,21.7,7.2,16.5,47,48,149,31
nadom,Dominican Republic,2010,54.5,2.7,42.7,0.1,48,123,61,103
natto,Trinidad and Tobago,2010,54,2,43.8,0.3,49,130,60,83
afegy,Egypt,2010,53.8,5.4,40.3,0.5,50,99,65,72
eudeu,Germany,2010,53.6,27.8,18.6,0,51,36,116,141
eucze,Czech Republic,2010,53.5,20.5,26,0,52,50,91,147
eusrb,Serbia,2010,51.5,23.9,24.6,0,53,42,95,125
aflso,Lesotho,2010,51.3,0.2,18.9,29.6,54,167,114,24
ocpng,Papua New Guinea,2010,51.3,0.9,47.7,0,55,150,54,167
nacan,Canada,2010,51.2,22,26.8,0,56,47,90,153
sapry,Paraguay,2010,51.1,18.2,28.8,2,57,54,86,50
euaut,Austria,2010,50.4,35.5,14,0,58,26,133,159
eurou,Romania,2010,50,28.9,21.1,0,59,34,107,113
nausa,United States,2010,50,17.3,32.7,0,60,57,79,132
afeth,Ethiopia,2010,49.7,0.6,8.2,41.4,61,157,148,21
euesp,Spain,2010,49.7,20.1,28.2,1.8,62,51,87,51
eubel,Belgium,2010,49.2,36.3,14.4,0.1,63,25,131,97
aftgo,Togo,2010,48.9,26.9,2.4,21.8,64,38,160,27
euirl,Ireland,2010,48.1,26.1,18.7,7.1,65,39,115,37
afzaf,South Africa,2010,48.1,17.8,16.7,17.4,66,55,120,30
